Date,Time,Time2,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
10/19/2020,3:30:00 AM,AM,11426.71,11439.64,11407.96,11416.71,695.093979,00:00.0,7944446.538,8611,335.926404,3839396.021,0
10/19/2020,4:00:00 AM,AM,11416.25,11446.33,11407.96,11443.48,675.923624,30:00.0,7727676.544,8320,379.051008,4333655.1,0
10/19/2020,4:30:00 AM,AM,11443.47,11446.33,11437.68,11442.01,434.627878,00:00.0,4972799.913,5630,135.238726,1547385.362,0
10/19/2020,5:00:00 AM,AM,11442.01,11450.98,11432.99,11433.2,353.162069,30:00.0,4041082.358,5279,150.761777,1725164.376,0
10/19/2020,5:30:00 AM,AM,11433.2,11442.28,11422.24,11442.09,497.325764,00:00.0,5685579.454,5647,201.593984,2304594.887,0
10/19/2020,6:00:00 AM,AM,11442.09,11449.16,11423.7,11447.59,462.509762,30:00.0,5289648.663,6902,186.329421,2131162.824,0
10/19/2020,6:30:00 AM,AM,11447.59,11459,11436.88,11450.15,458.417485,00:00.0,5248601.476,9012,218.040215,2496515.724,0
10/19/2020,7:00:00 AM,AM,11450.15,11467.07,11443.59,11451.61,707.777776,30:00.0,8108404.522,8654,339.342275,3887439.098,0
10/19/2020,7:30:00 AM,AM,11451.61,11467.1,11444.97,11462.39,547.264272,00:00.0,6272146.344,7142,265.394634,3041671.426,0
10/19/2020,8:00:00 AM,AM,11462.39,11471.64,11447.23,11464.06,619.651753,30:00.0,7102921.751,7627,259.802852,2978220.914,0
10/19/2020,8:30:00 AM,AM,11464.06,11468.28,11456.25,11466.39,585.2647,00:00.0,6708209.539,7635,288.807836,3310211.973,0
10/19/2020,9:00:00 AM,AM,11466.39,11482.24,11454.98,11455.2,555.177253,30:00.0,6367901.603,8719,225.007214,2581173.134,0
10/19/2020,9:30:00 AM,AM,11455.21,11487.97,11455.19,11487.53,627.473937,00:00.0,7199936.89,8035,332.063971,3810271.537,0
10/19/2020,10:00:00 AM,AM,11487.52,11497,11462,11465.34,836.557026,30:00.0,9604429.393,9454,363.924762,4178397.608,0
10/19/2020,10:30:00 AM,AM,11465.34,11482.63,11459.35,11479.75,703.446463,00:00.0,8069597.159,8026,344.487601,3952188.679,0
10/19/2020,11:00:00 AM,AM,11479.74,11485.39,11472.76,11482.15,553.309996,30:00.0,6351963.483,7300,255.022508,2927647.993,0
10/19/2020,11:30:00 AM,AM,11482.15,11532.01,11477,11477,1395.991233,00:00.0,16056604.41,15467,731.927375,8419169.051,0
10/19/2020,12:00:00 PM,PM,11477,11524.54,11472.46,11524.17,1179.84367,30:00.0,13570633.89,12802,749.107544,8618097.216,0
10/19/2020,12:30:00 PM,PM,11524.16,11532.01,11500.67,11515,1007.287793,00:00.0,11602334.31,12640,416.165454,4793378.134,0
10/19/2020,1:00:00 AM,PM,11515,11671.81,11515,11654.12,4632.613726,30:00.0,53727817.53,53286,3134.338096,36336549.86,0
10/19/2020,1:30:00 AM,PM,11654.13,11671.81,11627.9,11640.73,1791.610206,00:00.0,20875213.92,21574,905.206227,10547887.77,0
10/19/2020,2:00:00 AM,PM,11640.8,11681.87,11612.84,11649,1963.589413,30:00.0,22869585.97,26069,1064.997878,12403876.09,0
10/19/2020,2:30:00 AM,PM,11649,11656.98,11621.85,11651.82,1172.308962,00:00.0,13647996.65,17288,522.661962,6085125.062,0
10/19/2020,3:00:00 AM,PM,11651.83,11713.79,11637.72,11677.86,1766.862571,30:00.0,20626874.8,24511,1005.78845,11743827.45,0
10/19/2020,3:30:00 AM,PM,11677.85,11820,11668.55,11800,3819.55372,00:00.0,44926818.43,41051,2273.223187,26744006.53,0
10/19/2020,4:00:00 AM,PM,11800,11823.99,11760.11,11771.18,2380.49727,30:00.0,28049342.33,28955,1268.510541,14948775.7,0
10/19/2020,4:30:00 AM,PM,11771.18,11773.4,11747.73,11760.65,985.596454,00:00.0,11591538.72,14152,486.14727,5717329.178,0
10/19/2020,5:00:00 AM,PM,11760.65,11773.84,11727.46,11744.76,1045.416772,30:00.0,12285555.4,16307,467.784729,5497658.091,0
10/19/2020,5:30:00 AM,PM,11744.76,11753.21,11717.57,11721.75,936.675921,00:00.0,10989916.13,13705,486.43541,5707263.955,0
10/19/2020,6:00:00 AM,PM,11721.75,11749.75,11721.28,11733.62,885.08116,30:00.0,10391274.69,15517,455.034723,5342122.362,0
10/19/2020,6:30:00 AM,PM,11733.62,11735.46,11666,11669.56,1679.973193,00:00.0,19650059.69,22813,772.796386,9038636.677,0
10/19/2020,7:00:00 AM,PM,11669.82,11695.87,11661.61,11686.52,1112.972852,30:00.0,12995883.68,17303,621.074988,7252056.898,0
10/19/2020,7:30:00 AM,PM,11686.52,11691.04,11673.43,11689.99,535.74848,00:00.0,6258863.649,11214,283.096286,3307369.204,0
10/19/2020,8:00:00 AM,PM,11689.98,11691.74,11660.47,11683.14,515.115127,30:00.0,6015092.444,10831,244.035867,2849722.928,0
10/19/2020,8:30:00 AM,PM,11683.14,11728.99,11683.14,11723.08,746.41994,00:00.0,8738543.441,10484,439.405366,5144300.727,0
10/19/2020,9:00:00 AM,PM,11723.09,11757.41,11697.22,11717.83,910.770208,30:00.0,10685166.81,16847,540.712593,6345882.743,0
10/19/2020,9:30:00 AM,PM,11717.82,11753.67,11715.49,11747.25,472.193191,00:00.0,5543052.743,14679,242.450618,2846272.897,0
10/19/2020,10:00:00 AM,PM,11747.25,11750,11708.32,11740.95,650.084798,30:00.0,7628238.219,13107,287.437974,3372837.821,0
10/19/2020,10:30:00 AM,PM,11740.95,11775,11730.03,11731.83,816.127638,00:00.0,9594193.402,12535,436.535619,5132202.581,0
10/19/2020,11:00:00 AM,PM,11731.83,11742.02,11706.65,11735.99,698.49004,30:00.0,8190528.397,11409,285.164514,3343788.937,0
10/19/2020,11:30:00 AM,PM,11735.99,11752.98,11726.83,11751.47,589.11789,00:00.0,6917350.379,8777,306.094941,3594255.061,0
10/20/2020,12:00:00 PM,AM,11751.46,11755.22,11716.47,11734.91,584.872101,30:00.0,6860562.34,10715,261.840797,3071315.263,0
10/20/2020,12:30:00 PM,AM,11734.92,11745.81,11699.73,11724.8,530.3496,00:00.0,6215858.797,8982,228.805901,2681954.257,0
10/20/2020,1:00:00 AM,AM,11724.79,11736.02,11696.44,11700.15,513.595997,30:00.0,6020592.056,8577,221.801769,2600369.879,0
10/20/2020,1:30:00 AM,AM,11700.15,11711.02,11677.59,11697.78,685.725355,00:00.0,8020952.807,9810,297.775117,3483253.829,0
10/20/2020,2:00:00 AM,AM,11697.78,11718.98,11690.31,11710.35,470.666722,30:00.0,5512511.084,8422,202.748305,2374536.455,0
10/20/2020,2:30:00 AM,AM,11710.35,11729.65,11704.64,11719.95,331.463353,00:00.0,3884227.85,6326,149.99363,1757694.814,0
10/20/2020,3:00:00 AM,AM,11719.96,11732.67,11706.56,11719.46,392.502276,30:00.0,4600223.657,8519,209.000245,2449566.622,0
10/20/2020,3:30:00 AM,AM,11719.46,11765.96,11719.46,11741,736.689947,00:00.0,8653892.202,11111,377.912447,4439222.423,0
10/20/2020,4:00:00 AM,AM,11741,11756.66,11720.16,11752.04,593.20061,30:00.0,6962641.342,8508,334.718028,3929012.557,0
10/20/2020,4:30:00 AM,AM,11752.04,11752.19,11719.8,11723.43,539.981426,00:00.0,6337073.513,8730,182.678935,2143559.959,0
